ID,Name,email,Adress
1,second entry,vibek10@gmail.com,Jajpur
2,Ajay Kumar,ajay0@gmail.com,khordha
3,Rakesh Sethy,rak@gmail.com,bbsr
4,micky,mick@gmail.com,bhadrkar
5,gudu,gudu@gmail.com,jharkhand
6,rex,rex23@gmail.com,odisha
7,suresh,sure@gmail.com,bokaro
8,mohan,moha4@gmail.com,rourkela
9,shyam,shy@gmail.com,kolkata
10,charan,chara@gmail.com,agra
11,mukesh,mukesh@gmail.com,delhi
12,satya,sat52@gmail.com,punjab
13,manoj,mani@gmail.com,maharastra
14,pawan,pawa@gmail.com,hydrebaad
15,kartik,kart@gmail.com,chennail
16,ritik,rit@gmail.com,kerala
17,rahul,rahu@gmail.com,AP
18,bijay,bij@gmail.com,J&K
19,sonu,sonu@gmail.com,shimla
20,mickel,opi@gmail.com,goa
